normalized	100seq_sampleA1	100seq_sampleA2	100seq_sampleA3	100seq_sampleB1	100seq_sampleB2	100seq_sampleB3	100seq_sampleC1	100seq_sampleC2	100seq_sampleC3
Cluster_1	0.0	0.0	0.0	16.5	16.5	16.5	4.5	4.5	4.5
Cluster_10				inf	inf	inf			
Cluster_100				inf	inf	inf			
Cluster_101				inf	inf	inf			
Cluster_102				inf	inf	inf			
Cluster_103				inf	inf	inf			
Cluster_104				inf	inf	inf			
Cluster_105				inf	inf	inf			
Cluster_106	inf	inf	inf						
Cluster_107				inf	inf	inf			
Cluster_108				inf	inf	inf			
Cluster_109							inf	inf	inf
Cluster_110							inf	inf	inf
Cluster_111	inf	inf	inf						
Cluster_112	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0
Cluster_113	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0
Cluster_114	0.0	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0
Cluster_115	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.33	0.33
Cluster_116	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Cluster_117	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25
Cluster_118	0.0	0.0	0.0	0.25	0.25	0.25	0.0	0.0	0.0
Cluster_119	0.33	0.33	0.33	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_120	inf	inf	inf						
Cluster_122	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_123	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_124	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_125	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_126	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_127	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5
Cluster_129							inf	inf	inf
Cluster_130	inf	inf	inf						
Cluster_131	0.33	0.33	0.33	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_132	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_133	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.2
Cluster_134	0.33	0.33	0.33	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_135	0.33	0.33	0.33	0.0	0.0	0.0	0.0	0.0	0.0
Cluster_136	0.33	0.33	0.33	0.0	0.0	0.0	0.0	0.0	0.0
